district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.378161,95.735545,175.7,11.59,6.12,Laterite,Evergreen Forest Scarp,81.9,146.0,273.1,10.28,14543,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.771922,95.058376,101.5,0.5,11.44,Alluvial sandy silt,Paddy Cropland,218.7,369.5,540.6,1.11,581,1,1
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.467304,95.659985,178.5,12.54,5.0,Sandy clay red loam,Highland Industrial / Township,88.5,161.8,230.4,15.04,17895,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.071221,94.289357,83.5,0.11,14.28,Coarse river sand and silt,Char / River Island Sandbar,136.9,335.5,460.6,1.28,92,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.725347,92.696896,121.8,7.02,8.28,Sandy loam,Tea Plantation,81.2,134.2,275.3,11.96,11937,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.466096,95.723393,157.3,7.9,7.86,Laterite,Highland Industrial / Township,69.4,143.2,305.3,10.48,14978,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.825009,91.670104,118.6,4.38,7.73,Bhabar gravelly loam,Tea Estate,76.5,168.2,308.8,13.23,14118,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.089457,93.066684,765.6,30.64,4.28,Red and yellow forest soil,Hilly Terrain,73.7,182.2,201.8,12.76,11975,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.180881,91.764709,255.7,11.45,5.49,Red gravelly loam,Reserved Forest Upland,62.7,153.8,195.1,6.2,13661,0,0
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.271965,92.776889,60.9,0.58,13.12,Alluvial clay loam,Lowland Marsh,194.8,342.5,511.9,0.79,255,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.105189,93.224509,354.8,28.21,6.25,Gravelly skeletal clay,Sub-Tropical Montane Forest,80.5,185.3,269.2,26.64,13191,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.13052,91.912332,243.5,9.09,6.2,Ferruginous weathered rock,Reserved Forest Upland,109.7,135.6,207.9,15.56,11595,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.085005,93.0118,681.8,13.3,5.18,Gravelly skeletal clay,Hilly Terrain,65.7,181.2,238.3,21.05,28938,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.036055,93.725361,358.3,6.6,7.69,Skeletal rocky soil,Rubber / Coffee Plantation,92.1,180.0,248.8,23.53,6715,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.721708,91.478954,104.8,8.13,6.53,Coarse boulder-sand,Foothill Plantation,112.5,172.0,335.0,17.07,14718,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.358189,95.672549,223.2,8.87,6.85,Laterite,Tea Estate,86.2,226.7,253.5,13.12,14779,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.128961,91.880608,181.3,7.13,6.09,Red gravelly loam,Reserved Forest Upland,84.6,221.3,190.9,13.35,6376,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.672994,93.516521,65.8,0.62,11.8,Alluvial silt loam,Paddy Fringe,147.1,295.2,549.1,1.28,369,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.735532,95.223415,93.4,1.03,13.03,Recent riverine alluvium,Wetland / Beel,206.1,367.0,464.8,0.69,610,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.621291,92.574156,88.8,4.34,6.04,Piedmont coarse alluvium,Urban Cantonment,62.2,160.2,257.0,4.48,10650,0,0
